,Time,avg W,Date,temp,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather,clear_sky
2020-01-01 01:00:00+01:00,01:00:00,0,2020-01-01,276.0,1033.0,97.0,5.0,120.0,81.0,803.0,broken clouds,0.0
2020-01-01 01:15:00+01:00,01:15:00,0,2020-01-01,276.0,1033.0,95.75,5.0,122.5,65.75,803.0,broken clouds,0.0
2020-01-01 01:30:00+01:00,01:30:00,0,2020-01-01,276.0,1033.0,94.5,5.0,125.0,50.5,803.0,broken clouds,0.0
2020-01-01 01:45:00+01:00,01:45:00,0,2020-01-01,276.0,1033.0,93.25,5.0,127.5,35.25,803.0,broken clouds,0.0
2020-01-01 02:00:00+01:00,02:00:00,0,2020-01-01,276.0,1033.0,92.0,5.0,130.0,20.0,601.0,snow,0.0
2020-01-01 02:15:00+01:00,02:15:00,0,2020-01-01,276.0,1032.75,92.0,5.0,127.5,25.0,601.0,snow,0.0
2020-01-01 02:30:00+01:00,02:30:00,0,2020-01-01,276.0,1032.5,92.0,5.0,125.0,30.0,601.0,snow,0.0
2020-01-01 02:45:00+01:00,02:45:00,0,2020-01-01,276.0,1032.25,92.0,5.0,122.5,35.0,601.0,snow,0.0
2020-01-01 03:00:00+01:00,03:00:00,0,2020-01-01,276.0,1032.0,92.0,5.0,120.0,40.0,601.0,snow,0.0
2020-01-01 03:15:00+01:00,03:15:00,0,2020-01-01,276.0,1031.75,91.75,4.75,125.0,35.0,601.0,snow,0.0
2020-01-01 03:30:00+01:00,03:30:00,0,2020-01-01,276.0,1031.5,91.5,4.5,130.0,30.0,601.0,snow,0.0
2020-01-01 03:45:00+01:00,03:45:00,0,2020-01-01,276.0,1031.25,91.25,4.25,135.0,25.0,601.0,snow,0.0
2020-01-01 04:00:00+01:00,04:00:00,0,2020-01-01,276.0,1031.0,91.0,4.0,140.0,20.0,601.0,snow,0.0
2020-01-01 04:15:00+01:00,04:15:00,0,2020-01-01,276.0,1031.0,91.0,4.0,137.5,25.0,601.0,snow,0.0
2020-01-01 04:30:00+01:00,04:30:00,0,2020-01-01,276.0,1031.0,91.0,4.0,135.0,30.0,601.0,snow,0.0
2020-01-01 04:45:00+01:00,04:45:00,0,2020-01-01,276.0,1031.0,91.0,4.0,132.5,35.0,601.0,snow,0.0
2020-01-01 05:00:00+01:00,05:00:00,0,2020-01-01,276.0,1031.0,91.0,4.0,130.0,40.0,601.0,snow,0.0
2020-01-01 05:15:00+01:00,05:15:00,0,2020-01-01,276.0,1031.0,91.25,4.0,130.0,40.0,601.0,snow,0.0
2020-01-01 05:30:00+01:00,05:30:00,0,2020-01-01,276.0,1031.0,91.5,4.0,130.0,40.0,601.0,snow,0.0
2020-01-01 05:45:00+01:00,05:45:00,0,2020-01-01,276.0,1031.0,91.75,4.0,130.0,40.0,601.0,snow,0.0
