timestamp,Time,avg kW,Date
2020-01-01 00:00:00+01:00,00:00:00,0,2020-01-01
2020-01-01 00:15:00+01:00,00:15:00,0,2020-01-01
2020-01-01 00:30:00+01:00,00:30:00,0,2020-01-01
2020-01-01 00:45:00+01:00,00:45:00,0,2020-01-01
2020-01-01 01:00:00+01:00,01:00:00,0,2020-01-01
2020-01-01 01:15:00+01:00,01:15:00,0,2020-01-01
2020-01-01 01:30:00+01:00,01:30:00,0,2020-01-01
2020-01-01 01:45:00+01:00,01:45:00,0,2020-01-01
2020-01-01 02:00:00+01:00,02:00:00,0,2020-01-01
2020-01-01 02:15:00+01:00,02:15:00,0,2020-01-01
2020-01-01 02:30:00+01:00,02:30:00,0,2020-01-01
2020-01-01 02:45:00+01:00,02:45:00,0,2020-01-01
2020-01-01 03:00:00+01:00,03:00:00,0,2020-01-01
2020-01-01 03:15:00+01:00,03:15:00,0,2020-01-01
2020-01-01 03:30:00+01:00,03:30:00,0,2020-01-01
2020-01-01 03:45:00+01:00,03:45:00,0,2020-01-01
2020-01-01 04:00:00+01:00,04:00:00,0,2020-01-01
2020-01-01 04:15:00+01:00,04:15:00,0,2020-01-01
2020-01-01 04:30:00+01:00,04:30:00,0,2020-01-01
2020-01-01 04:45:00+01:00,04:45:00,0,2020-01-01
2020-01-01 05:00:00+01:00,05:00:00,0,2020-01-01
2020-01-01 05:15:00+01:00,05:15:00,0,2020-01-01
2020-01-01 05:30:00+01:00,05:30:00,0,2020-01-01
2020-01-01 05:45:00+01:00,05:45:00,0,2020-01-01
2020-01-01 06:00:00+01:00,06:00:00,0,2020-01-01
2020-01-01 06:15:00+01:00,06:15:00,0,2020-01-01
2020-01-01 06:30:00+01:00,06:30:00,0,2020-01-01
2020-01-01 06:45:00+01:00,06:45:00,0,2020-01-01
2020-01-01 07:00:00+01:00,07:00:00,0,2020-01-01
2020-01-01 07:15:00+01:00,07:15:00,0,2020-01-01
2020-01-01 07:30:00+01:00,07:30:00,0,2020-01-01
2020-01-01 07:45:00+01:00,07:45:00,0,2020-01-01
2020-01-01 08:00:00+01:00,08:00:00,0,2020-01-01
2020-01-01 08:15:00+01:00,08:15:00,0,2020-01-01
2020-01-01 08:30:00+01:00,08:30:00,0,2020-01-01
2020-01-01 08:45:00+01:00,08:45:00,0,2020-01-01
2020-01-01 09:00:00+01:00,09:00:00,0,2020-01-01
2020-01-01 09:15:00+01:00,09:15:00,0,2020-01-01
2020-01-01 09:30:00+01:00,09:30:00,10,2020-01-01
2020-01-01 09:45:00+01:00,09:45:00,70,2020-01-01
2020-01-01 10:00:00+01:00,10:00:00,232,2020-01-01
2020-01-01 10:15:00+01:00,10:15:00,257,2020-01-01
2020-01-01 10:30:00+01:00,10:30:00,321,2020-01-01
2020-01-01 10:45:00+01:00,10:45:00,594,2020-01-01
2020-01-01 11:00:00+01:00,11:00:00,529,2020-01-01
2020-01-01 11:15:00+01:00,11:15:00,548,2020-01-01
