 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.009
06:30;0.063
06:45;0.088
07:00;0.188
07:15;0.233
07:30;0.310
07:45;0.497
08:00;0.626
08:15;0.624
08:30;1.432
08:45;1.184
09:00;1.382
09:15;1.222
09:30;1.551
09:45;3.029
10:00;2.749
10:15;3.171
10:30;2.945
10:45;2.552
11:00;2.507
11:15;2.689
11:30;2.912
11:45;2.078
12:00;3.860
12:15;3.689
12:30;3.975
12:45;3.120
13:00;2.194
13:15;2.644
13:30;3.795
13:45;2.363
14:00;4.240
14:15;3.433
14:30;3.453
14:45;4.131
15:00;3.333
15:15;3.753
15:30;4.584
15:45;3.494
16:00;4.314
16:15;3.413
16:30;3.250
16:45;4.000
17:00;2.651
17:15;2.489
17:30;3.545
17:45;2.384
18:00;1.898
18:15;1.987
18:30;1.816
18:45;1.317
19:00;0.805
19:15;0.527
19:30;0.391
19:45;0.361
20:00;0.330
20:15;0.316
20:30;0.275
20:45;0.238
21:00;0.202
21:15;0.235
21:30;0.180
21:45;0.075
22:00;0.016
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
