dt;dt_iso;timezone;city_name;lat;lon;temp;feels_like;temp_min;temp_max;pressure;sea_level;grnd_level;humidity;wind_speed;wind_deg;rain_1h;rain_3h;snow_1h;snow_3h;clouds_all;weather_id;weather_main;weather_description;weather_icon
1577836800;2020-01-01 00:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.86;271.91;275.93;277.95;1033;;;97;5;120;;;;;81;803;Clouds;broken clouds;04n
1577840400;2020-01-01 01:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.75;271.65;275.93;277.65;1033;;;92;5;130;;;;;20;701;Mist;mist;50n
1577844000;2020-01-01 02:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.62;271.5;275.93;277.35;1032;;;92;5;120;;;;;40;701;Mist;mist;50n
1577847600;2020-01-01 03:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.38;271.89;275.238;277.15;1031;;;91;4;140;;;;;20;701;Mist;mist;50n
1577851200;2020-01-01 04:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.3;271.8;274.82;277.25;1031;;;91;4;130;;;;;40;701;Mist;mist;50n
1577854800;2020-01-01 05:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;276.15;271.65;274.32;277.55;1031;;;92;4;130;;;;;40;701;Mist;mist;50n
1577858400;2020-01-01 06:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;275.74;271.2;273.513;277.45;1031;;;93;4;150;;;;;40;701;Mist;mist;50n
1577862000;2020-01-01 07:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;275.46;270.97;273.117;277.15;1031;;;97;4;150;;;;;90;804;Clouds;overcast clouds;04n
1577865600;2020-01-01 08:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;275.23;270;272.733;277.15;1031;;;97;5;130;;;;;75;803;Clouds;broken clouds;04d
1577869200;2020-01-01 09:00:00 +0000 UTC;3600;Brugge;51.193.977;3.183.912;275.16;269.92;273.15;277.15;1031;;;97;5;150;;;;;75;803;Clouds;broken clouds;04d
